Player Name,X Location,Y Location,Shot Made Flag
Jamal Murray,122,235,0
Jamal Murray,-70,102,0
Jamal Murray,-119,233,1
Jamal Murray,-28,37,0
Jamal Murray,41,252,0
Jamal Murray,44,37,1
Jamal Murray,-147,164,1
Jamal Murray,31,13,0
Jamal Murray,119,168,1
Jamal Murray,62,253,0
Jamal Murray,30,242,1
Jamal Murray,25,13,0
Jamal Murray,-42,158,1
Jamal Murray,-5,248,1
Jamal Murray,0,10,1
Jamal Murray,-33,261,0
Jamal Murray,-4,163,1
Jamal Murray,203,143,1
Jamal Murray,94,180,1
Jamal Murray,131,136,0
Jamal Murray,-62,83,0
Jamal Murray,-221,56,0
Jamal Murray,27,251,0
Jamal Murray,222,11,0
Jamal Murray,-72,94,1
Jamal Murray,109,225,0
Jamal Murray,-128,222,1
Jamal Murray,-121,75,0
Jamal Murray,-166,242,0
Jamal Murray,-25,13,0
Jamal Murray,-56,117,1
Jamal Murray,2,12,1
Jamal Murray,-95,91,0
Jamal Murray,-152,128,1
Jamal Murray,-8,258,0
Jamal Murray,3,7,1
Jamal Murray,-2,8,1
Jamal Murray,98,269,0
Jamal Murray,105,179,1
Jamal Murray,16,17,0
Jamal Murray,19,-1,0
Jamal Murray,2,-4,1
Jamal Murray,-172,194,0
Jamal Murray,-174,186,0
Jamal Murray,211,125,1
Jamal Murray,-57,37,0
Jamal Murray,164,198,0
Jamal Murray,-169,168,0
Jamal Murray,11,-5,1
Jamal Murray,-47,108,1
Jamal Murray,-2,-1,1
Jamal Murray,-14,16,0
Jamal Murray,20,135,1
Jamal Murray,-92,110,0
Jamal Murray,-14,14,0
Jamal Murray,-63,71,1
Jamal Murray,16,147,0
Jamal Murray,20,203,0
Jamal Murray,-11,11,1
Jamal Murray,-9,10,1
Jamal Murray,62,120,0
Jamal Murray,10,172,1
Jamal Murray,-96,110,0
Jamal Murray,131,22,1
Jamal Murray,40,185,0
Jamal Murray,-130,221,0
Jamal Murray,-32,109,1
Jamal Murray,17,8,1
Jamal Murray,-179,166,0
Jamal Murray,-5,171,0
Jamal Murray,-145,206,0
Jamal Murray,-13,32,1
Jamal Murray,-20,6,1
Jamal Murray,-16,57,0
Jamal Murray,18,27,0
Jamal Murray,-24,242,1
Jamal Murray,29,194,1
Jamal Murray,-25,5,0
Jamal Murray,51,138,1
Jamal Murray,84,234,0
Jamal Murray,56,213,1
Jamal Murray,-38,257,0
Jamal Murray,-27,13,1
Jamal Murray,-29,39,0
Jamal Murray,-147,218,0
Jamal Murray,-13,19,0
Jamal Murray,-27,15,0
Jamal Murray,23,19,0
Jamal Murray,-54,29,0
Jamal Murray,181,192,0
Jamal Murray,-53,147,0
Jamal Murray,-18,19,1
Jamal Murray,123,111,1
Jamal Murray,-168,98,0
Jamal Murray,-159,112,1
Jamal Murray,-19,15,1
Jamal Murray,15,63,0
Jamal Murray,-133,138,1
Jamal Murray,66,145,0
Jamal Murray,-176,188,1
Jamal Murray,-144,215,0
Jamal Murray,-42,6,1
Jamal Murray,107,37,1
Jamal Murray,100,117,1
Jamal Murray,46,121,0
Jamal Murray,40,256,1
Jamal Murray,-113,268,1
Jamal Murray,-89,70,0
Jamal Murray,-27,121,1
Jamal Murray,-40,172,0
Jamal Murray,-3,262,0
Jamal Murray,163,37,0
Jamal Murray,-30,36,0
Jamal Murray,-145,15,0
Jamal Murray,157,231,0
Jamal Murray,-197,152,0
Jamal Murray,-74,253,1
Jamal Murray,5,33,0
Jamal Murray,-35,256,0
Jamal Murray,218,94,1
Jamal Murray,24,251,0
Jamal Murray,-99,86,1
Jamal Murray,-6,1,1
Jamal Murray,125,216,0
Jamal Murray,-78,135,0
Jamal Murray,-143,38,0
Jamal Murray,-96,151,0
Jamal Murray,-12,10,1
Jamal Murray,-226,20,1
Jamal Murray,143,17,0
Jamal Murray,-6,15,0
Jamal Murray,59,238,0
Jamal Murray,81,209,1
Jamal Murray,2,1,1
Jamal Murray,-124,214,0
Jamal Murray,-4,5,1
Jamal Murray,6,9,1
Jamal Murray,-108,216,0
Jamal Murray,149,251,0
Jamal Murray,16,21,0
Jamal Murray,-14,121,0
Jamal Murray,-216,110,0
Jamal Murray,-157,70,1
Jamal Murray,41,47,0
Jamal Murray,16,196,0
Jamal Murray,18,259,0
Jamal Murray,-123,235,1
Jamal Murray,-107,32,1
Jamal Murray,70,256,0
Jamal Murray,76,155,0
Jamal Murray,115,235,0
Jamal Murray,-69,29,0
Jamal Murray,24,13,1
Jamal Murray,23,248,0
Jamal Murray,-113,229,1
Jamal Murray,-3,164,0
Jamal Murray,-11,13,1
Jamal Murray,-6,8,1
Jamal Murray,44,248,0
Jamal Murray,62,38,1
Jamal Murray,221,27,0
Jamal Murray,-168,185,0
Jamal Murray,-99,122,1
Jamal Murray,103,163,1
Jamal Murray,51,251,0
Jamal Murray,24,33,1
Jamal Murray,-25,20,0
Jamal Murray,-31,150,0
Jamal Murray,-190,156,1
Jamal Murray,-84,235,0
Jamal Murray,112,167,1
Jamal Murray,185,177,0
